uem,inc_uem,dindiza,inc_dindiza,massangena,inc_massangena,pomene,inc_pomene,maravia,inc_maravia,nhangau,inc_nhangau,nhapassa_1,inc_nhapassa_1,lugela_1,inc_lugela_1,chomba,inc_chomba,nanhupo_1,inc_nanhupo_1,massangulo,inc_massangulo_1
0.853,0.093,0.605,0.213,0.647,-0.647,0.363,-0.026,0.959,0.04,0.045,-0.045,0.535,-0.004,0,0.002,0.469,-0.082,0.765,0.151,0.524,-0.135
0.946,0.02,0.818,-0.124,0.45,-0.076,0.965,-0.022,0.998,-0.998,0.963,-0.173,0.532,0.028,0.003,-0.003,0.387,0.185,0.916,-0.094,0.39,-0.076
0.966,-0.017,0.694,-0.694,0.375,0.179,0.943,-0.943,,-1.007,0.791,-0.099,0.56,0.156,0.306,-0.305,0.572,0.05,0.822,0.057,0.314,0.006
0.949,-0.281,0.898,-0.106,0.554,0.162,0.969,-0.261,0.942,0.013,0.692,0.035,0.717,-0.717,0.001,-0.001,0.622,-0.145,0.879,-0.102,0.32,-0.009
0.668,0.317,0.792,0.037,0.715,-0.068,0.708,0.06,0.955,-0.081,0.727,0.022,0.926,-0.926,0,0,0.477,-0.123,0.777,0.066,0.311,-0.053
0.986,-0.025,0.828,0.139,0.648,-0.002,0.768,-0.768,0.874,-0.168,0.749,0.043,0.507,0.153,0,0,0.355,0.097,0.843,-0.044,0.259,-0.065
0.961,-0.104,0.967,-0.563,0.646,-0.646,0.964,-0.384,0.706,-0.706,0.792,-0.099,0.659,-0.659,0.415,-0.415,0.451,-0.023,0.799,0.018,0.194,-0.048
0.857,0.139,0.404,0.291,0.985,,0.581,0.239,0.971,-0.277,0.693,-0.026,0.958,-0.332,0.066,-0.066,0.428,-0.081,0.817,-0.041,0.145,-0.043
0.996,-0.051,0.695,0.132,,-0.157,0.82,-0.286,0.694,0.193,0.667,0.288,0.626,-0.626,0.017,-0.017,0.347,-0.039,0.776,-0.028,0.103,-0.057
0.945,0.03,0.827,-0.827,0.849,-0.07,0.534,-0.024,0.887,-0.277,0.954,-0.076,0.844,0.06,0.14,-0.14,0.308,-0.104,0.748,-0.025,0.046,
0.974,-0.974,0.999,-0.556,0.779,-0.056,0.51,0.353,0.61,-0.61,0.878,-0.878,0.903,-0.151,0.029,-0.029,0.204,-0.084,0.723,-0.348,0.903,-0.02
0.995,0.002,0.443,0.355,0.723,-0.163,0.864,-0.026,0.859,-0.235,0.839,-0.076,0.753,-0.101,0.081,-0.081,0.12,-0.039,0.375,-0.268,0.883,-0.054
0.997,-0.031,0.798,-0.019,0.561,-0.099,0.837,0.09,0.624,0.32,0.763,-0.763,0.651,-0.156,0.021,-0.014,0.081,-0.046,0.107,-0.059,0.829,-0.066
0.966,-0.12,0.778,-0.469,0.461,-0.461,0.927,-0.927,0.945,-0.945,0.999,-0.265,0.496,-0.18,0.007,0.219,0.035,-0.028,0.048,-0.003,0.763,-0.015
